date,categorie,defm
2012-03,D,279e3
2012-03,E,372100
2012-04,A,2800900
2012-04,B,594e3
2012-04,C,871600
2012-04,D,275100
2012-04,E,373900
2012-05,A,2780700
2012-05,B,571200
2012-05,C,887900
2012-05,D,275300
2012-05,E,373e3
2012-06,A,2742600
2012-06,B,568800
2012-06,C,920500
2012-06,D,238400
2012-06,E,369900
2012-07,A,2855100
2012-07,B,547600
2012-07,C,925900
2012-07,D,168900
2012-07,E,364100
2012-08,A,3067800
2012-08,B,573100
2012-08,C,809300
2012-08,D,170500
2012-08,E,354100
2012-09,A,3050700
2012-09,B,631800
2012-09,C,875900
2012-09,D,216500
2012-09,E,354200
2012-10,A,3143600
2012-10,B,615400
2012-10,C,903600
2012-10,D,254600
2012-10,E,355200
2012-11,A,3207500
2012-11,B,622600
2012-11,C,875200
2012-11,D,281400
2012-11,E,356600
2012-12,A,3193300
2012-12,B,636200
2012-12,C,860300
2012-12,D,267200
2012-12,E,349e3
2013-01,A,3359100
2013-01,B,627400
2013-01,C,816400
2013-01,D,285300
2013-01,E,348800
2013-02,A,3323700
2013-02,B,641700
2013-02,C,819400
2013-02,D,292600
2013-02,E,350500
2013-03,A,3242200
2013-03,B,642300
2013-03,C,868900
2013-03,D,296500
2013-03,E,354e3
2013-04,A,3153600
2013-04,B,645800
2013-04,C,932900
2013-04,D,301100
2013-04,E,356800
2013-05,A,3105500
2013-05,B,630700
2013-05,C,931e3
2013-05,D,301e3
2013-05,E,359e3
2013-06,A,3065300
2013-06,B,610600
2013-06,C,942300
2013-06,D,258e3
2013-06,E,355600
2013-07,A,3138e3
2013-07,B,594800
2013-07,C,996700
2013-07,D,187700
2013-07,E,354500
2013-08,A,3298e3
2013-08,B,607600
2013-08,C,842e3
2013-08,D,183700
2013-08,E,346900
2013-09,A,3297600
2013-09,B,665100
2013-09,C,930900
2013-09,D,238400
2013-09,E,354100
2013-10,A,3322200
2013-10,B,671900
2013-10,C,982600
2013-10,D,275800
2013-10,E,364900
2013-11,A,3394400
2013-11,B,655800
2013-11,C,924400
2013-11,D,296200
2013-11,E,376800
2013-12,A,3371900
2013-12,B,663200
2013-12,C,938800
2013-12,D,286900
2013-12,E,377400
2014-01,A,3501100
2014-01,B,653100
2014-01,C,893600
2014-01,D,308400
2014-01,E,384500
2014-02,A,3475200
2014-02,B,659e3
2014-02,C,873900
2014-02,D,315100
2014-02,E,392200
2014-03,A,3378800
2014-03,B,659e3
2014-03,C,930500
2014-03,D,315300
2014-03,E,397300
2014-04,A,3262400
2014-04,B,672100
2014-04,C,1001700
2014-04,D,319e3
2014-04,E,402700
2014-05,A,3238700
2014-05,B,656200
2014-05,C,1002300
2014-05,D,307400
2014-05,E,402e3
2014-06,A,3196400
2014-06,B,642e3
2014-06,C,1027600
2014-06,D,273700
2014-06,E,401100
2014-07,A,3278500
2014-07,B,617400
2014-07,C,1071300
2014-07,D,193400
2014-07,E,394300
2014-08,A,3477700
2014-08,B,645400
2014-08,C,906100
2014-08,D,182600
2014-08,E,384300
2014-09,A,3436100
2014-09,B,696900
2014-09,C,1042100
2014-09,D,245e3
2014-09,E,387300
2014-10,A,3498400
2014-10,B,689700
2014-10,C,1065200
2014-10,D,279800
2014-10,E,386900
2014-11,A,3587800
2014-11,B,682300
2014-11,C,993600
2014-11,D,298700
2014-11,E,384600
2014-12,A,3553e3
2014-12,B,69e4
2014-12,C,1048600
2014-12,D,288800
2014-12,E,377200
2015-01,A,3668800
2015-01,B,685300
2015-01,C,996e3
2015-01,D,305700
2015-01,E,377800
2015-02,A,3636300
2015-02,B,698100
2015-02,C,993700
2015-02,D,312800
2015-02,E,381e3
2015-03,A,3542100
2015-03,B,687200
2015-03,C,1077900
2015-03,D,324300
2015-03,E,383500
2015-04,A,3427300
2015-04,B,713100
2015-04,C,115e4
2015-04,D,319100
2015-04,E,385900
2015-05,A,3414400
2015-05,B,703300
2015-05,C,1162300
2015-05,D,302300
2015-05,E,385900
2015-06,A,3337800
2015-06,B,674100
2015-06,C,1215800
2015-06,D,276200
2015-06,E,400400
2015-07,A,3404800
2015-07,B,660200
2015-07,C,1236900
2015-07,D,193300
2015-07,E,403200
2015-08,A,3636900
2015-08,B,684800
2015-08,C,1048500
2015-08,D,192300
2015-08,E,395800
2015-09,A,3534800
2015-09,B,742800
2015-09,C,1196400
2015-09,D,245700
2015-09,E,402400
2015-10,A,3625600
2015-10,B,727200
2015-10,C,1178100
2015-10,D,277700
2015-10,E,409500
2015-11,A,3675100
2015-11,B,721300
2015-11,C,1134500
2015-11,D,302400
2015-11,E,419400
2015-12,A,3638500
2015-12,B,727e3
2015-12,C,1185700
2015-12,D,287200
2015-12,E,420200
2016-01,A,3742800
2016-01,B,718400
2016-01,C,1100600
2016-01,D,3e5
2016-01,E,420800
2016-02,A,3725900
2016-02,B,715700
2016-02,C,1084700
2016-02,D,311400
2016-02,E,424900
2016-03,A,3553100
2016-03,B,721700
2016-03,C,1191100
2016-03,D,322900
2016-03,E,428400
2016-04,A,3410400
2016-04,B,736500
2016-04,C,1206700
2016-04,D,322e3
2016-04,E,429200
2016-05,A,3370300
2016-05,B,709500
2016-05,C,1241100
2016-05,D,329200
2016-05,E,435200
2016-06,A,3308e3
2016-06,B,691700
2016-06,C,1279900
2016-06,D,300400
2016-06,E,435200
